,precision,recall,f1-score,support
High,1.0,0.6666666666666666,0.8,9.0
Low,1.0,0.5,0.6666666666666666,8.0
Medium,0.4166666666666667,1.0,0.5882352941176471,5.0
accuracy,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818
macro avg,0.8055555555555555,0.7222222222222222,0.684967320261438,22.0
weighted avg,0.8674242424242423,0.6818181818181818,0.7033868092691622,22.0
