Component,Explained_Variance,Cumulative_Variance
1,0.34903013531383253,0.34903013531383253
2,0.06921842299043056,0.4182485583042631
3,0.053987897163682054,0.4722364554679452
4,0.03805173568517398,0.5102881911531192
5,0.03159777154469191,0.5418859626978111
6,0.024872285144199823,0.5667582478420109
7,0.02169833777396314,0.588456585615974
8,0.02021821429095363,0.6086747999069276
9,0.01976521535989223,0.6284400152668199
10,0.018465535327899723,0.6469055505947197
11,0.01767953099928595,0.6645850815940056
12,0.01568859477672723,0.6802736763707329
13,0.014643359751583006,0.6949170361223159
14,0.014350244722965814,0.7092672808452818
15,0.014102676531543413,0.7233699573768252
16,0.013877350517688658,0.7372473078945139
17,0.013658495536381293,0.7509058034308952
18,0.013313743213284875,0.76421954664418
19,0.01256776242972156,0.7767873090739016
20,0.01206226286974025,0.7888495719436418
21,0.011540023446939059,0.8003895953905809
22,0.011276764655788734,0.8116663600463696
23,0.011123673918346854,0.8227900339647165
24,0.011081250194774227,0.8338712841594907
25,0.010985402151281794,0.8448566863107725
26,0.010973545638779236,0.8558302319495518
27,0.010948375873335138,0.866778607822887
28,0.010912775108942301,0.8776913829318292
29,0.010887664709168873,0.8885790476409982
30,0.010868537495122163,0.8994475851361203
31,0.01086726093242001,0.9103148460685403
32,0.010839876146550952,0.9211547222150912
33,0.010838528857391116,0.9319932510724823
34,0.010835163515050155,0.9428284145875325
35,0.010832661326335065,0.9536610759138676
36,0.010831548437616233,0.9644926243514839
37,0.010818710147941824,0.9753113344994256
38,0.008043261063408075,0.9833545955628337
39,0.004933595774149968,0.9882881913369836
40,0.0031782930611849764,0.9914664843981686
41,0.0019076727830687743,0.9933741571812374
42,0.0016801367144079161,0.9950542938956454
43,0.00085440735589426,0.9959087012515396
44,0.0005691460069492979,0.996477847258489
45,0.0005564532887569291,0.997034300547246
46,0.0005145778796546222,0.9975488784269005
47,0.00038164743711309733,0.9979305258640137
48,0.000359215504662753,0.9982897413686764
49,0.00025889493514300553,0.9985486363038194
50,0.00024405467742052381,0.9987926909812399
51,0.00018409458343971263,0.9989767855646796
52,0.000165697073234549,0.9991424826379142
53,0.00014965083765591225,0.9992921334755701
54,0.00011066273328079205,0.9994027962088509
55,9.765531324495534e-05,0.9995004515220958
56,8.71632201252176e-05,0.999587614742221
57,8.102132758912397e-05,0.9996686360698102
58,7.152765899152297e-05,0.9997401637288017
59,4.626331334115374e-05,0.9997864270421428
60,3.9628636385445846e-05,0.9998260556785282
61,2.7638651784066706e-05,0.9998536943303122
62,2.651869420475713e-05,0.999880213024517
63,2.2463206583185052e-05,0.9999026762311002
64,1.6950868598673715e-05,0.9999196270996988
65,1.4286813969146498e-05,0.999933913913668
66,1.2252256285661042e-05,0.9999461661699537
67,1.0476002492934637e-05,0.9999566421724466
68,8.936799293755969e-06,0.9999655789717403
69,7.267673853257243e-06,0.9999728466455936
70,6.516766667226968e-06,0.9999793634122608
71,5.980978201284765e-06,0.999985344390462
72,3.8074120259562643e-06,0.999989151802488
73,3.4666554415493308e-06,0.9999926184579296
74,1.9064389434476542e-06,0.9999945248968731
75,1.546279012403658e-06,0.9999960711758855
76,1.0608255519226867e-06,0.9999971320014375
77,1.0002893295192375e-06,0.999998132290767
78,7.923498525539835e-07,0.9999989246406195
79,3.941299713547018e-07,0.9999993187705908
80,3.3413916545763955e-07,0.9999996529097562
81,2.0932975122519295e-07,0.9999998622395074
82,1.376548093695333e-07,0.9999999998943168
83,1.0568255683679697e-10,0.9999999999999993
84,7.914314600543511e-16,1.0000000000000002
85,2.169042542384103e-33,1.0000000000000002
86,1.5455277467717895e-33,1.0000000000000002
87,1.5455277467717895e-33,1.0000000000000002
88,1.5455277467717895e-33,1.0000000000000002
89,1.5455277467717895e-33,1.0000000000000002
90,1.5455277467717895e-33,1.0000000000000002
91,1.5455277467717895e-33,1.0000000000000002
92,1.5455277467717895e-33,1.0000000000000002
93,1.5455277467717895e-33,1.0000000000000002
94,1.5455277467717895e-33,1.0000000000000002
95,1.5455277467717895e-33,1.0000000000000002
