PC1,PC2,Cluster
-5.4491562091484385,-1.9465825087855295,1
-5.512997279812297,-2.1248697307109987,1
-5.402802235130885,-1.8191501842786122,1
-5.4118247332154015,-1.8534574119844378,1
3.0774967232533332,-0.43850627726840213,0
4.6851159428239475,0.16519757340043692,0
4.808971069372792,0.2148795698464159,0
4.855343456319479,0.3157073481639777,0
-4.854655064058326,-0.24905458931174715,1
-4.437764089403914,0.4299736889168849,1
-4.471153965495766,0.39684032687913284,1
-4.30421353958168,0.895315212005573,1
-1.1892363896311064,3.0114699297884053,1
-0.6188053853500218,3.4649770671162146,1
-0.48929011289411106,3.893750541391223,1
-0.5310652575469047,4.097199061965387,1
0.7256139677251717,0.3512419903187565,1
1.7644675950305952,1.0820441950077127,1
3.466574335827913,1.0979530415163485,0
4.300860768946188,1.378600020217364,0
-4.801111729315037,-1.7265114991105421,1
-4.3401775855643026,-1.3229209048814137,1
-4.314415284441888,-1.1825422389500384,1
-4.266498253718118,-1.1674449819433301,1
-2.2915356963385176,1.7139655088626748,1
-1.6357170288037186,2.306810797159256,1
-1.3531346778740398,2.8296869718621687,1
-1.1435616938092994,2.758827702438499,1
-5.799151699330471,-2.1600890285182426,1
-5.812586892383223,-2.2633481190270146,1
-5.631982506628342,-2.398582065823333,1
-5.566662209858207,-2.324272263217363,1
-0.39088936902694926,-0.9413799971400806,1
1.1167261802210076,-0.6113832302576071,1
0.36348218988347386,-0.2196595739196205,1
0.8099730258762953,-0.23497941162639077,1
-5.617600388103677,-3.2237414910110354,1
-4.7193894988087965,-1.5729548627191323,1
-4.585296615198187,-1.2629089377332923,1
-4.40829861918345,-1.1856288911081674,1
0.8349755296021124,3.4713362712079245,1
2.1180678875250885,4.0117263299243175,1
2.3618568127308155,4.372707154847861,0
3.4068632735263877,4.760157256177686,0
-1.8610439924087596,-1.1756345864965452,1
-1.1789577319223248,-0.7893381826215505,1
-0.8593804168756125,-0.6814203628094014,1
-0.5655146332838225,-0.6974181621288518,1
-3.641731187904552,-0.25600010245515814,1
-3.2458502963661506,0.13133235826912124,1
-3.2250220314636833,0.18141475090990108,1
-3.072760977912174,0.28851904683027235,1
-2.4920130394225266,-0.7257549948084508,1
-1.8943397049024537,-0.009022188690742531,1
-2.0872938215314476,0.06866160707259181,1
-2.0248075296087125,0.15361730192313003,1
-1.7659282538272534,3.213336000028584,1
-0.6368218098563727,4.1548988899071695,1
-0.8649484412552935,4.158694623216177,1
-0.40006349562452004,4.684027112022128,1
5.1713406140453175,0.01716483406240372,0
7.383415559464794,0.552298698962926,0
7.592629995941344,0.9201759539165781,0
8.01349394276494,1.0480500570574085,0
0.361335354659558,-2.46779931989039,1
1.4947982124490675,-2.1787454781515976,1
2.2050071349847515,-2.1984296946141466,1
2.319064310915969,-2.2222895186937404,1
-6.471363188401813,-4.0322009472122895,1
-6.315880239147594,-3.6192155982059813,1
-5.931291655988329,-3.009231135630327,1
-7.017473643209031,-4.9870595286259025,1
