Rank,Model,Ensemble_Type,R2,RMSE,MAE
1,Random Forest,Bagging,0.8901035993230701,3.8675060727063126,2.829564251100716
2,Voting Regressor,Voting,0.8860038382111248,3.9389855215556104,2.657210587167152
3,Gradient Boosting,Boosting,0.8821345852742836,4.005276147566191,2.8535582348420783
4,Decision Tree,Base,0.7241925274872689,6.126921050391238,3.9766681818181824
