year,state,ger_all_male,ger_all_female,ger_all_total,ger_sc_male,ger_sc_female,ger_sc_total,ger_st_male,ger_st_female,ger_st_total,gpi_all,gpi_sc,gpi_st,enr_phd_male,enr_phd_female,enr_phd_total,enr_pg_male,enr_pg_female,enr_pg_total,enr_ug_male,enr_ug_female,enr_ug_total,enr_grand_male,enr_grand_female,enr_grand_total,enr_sc_male,enr_sc_female,enr_sc_total,enr_st_male,enr_st_female,enr_st_total,enr_obc_male,enr_obc_female,enr_obc_total,enr_pwd_male,enr_pwd_female,enr_pwd_total,enr_muslim_male,enr_muslim_female,enr_muslim_total,ptr_all_reg_dist,ptr_all_reg,teacher_total_male,teacher_total_female,teacher_total,teacher_sc_male,teacher_sc_female,teacher_sc_total,teacher_st_male,teacher_st_female,teacher_st_total,teacher_obc_male,teacher_obc_female,teacher_obc_total,total_universities,imputed_flag
2019-20,Jammu And Kashmir,31.6827,33.2057,32.4204,17.3471,23.5739,20.3406,22.9852,19.1668,21.0895,1.0481,1.359,0.8339,2080.0,1909.0,3989.0,28673.0,34950.0,63623.0,154680.0,147209.0,301889.0,199249.0,196167.0,395416.0,9302.0,11703.0,21005.0,12261.0,10081.0,22342.0,14636.0,11364.0,26000.0,334.0,262.0,596.0,89608.0,89068.0,178676.0,34.9277,24.5281,6580.0,4741.0,11321.0,280.0,255.0,535.0,177.0,57.0,234.0,276.0,104.0,380.0,15.0,0
2020-21,Jammu And Kashmir,23.0383,27.2312,25.0222,15.3538,19.4355,17.2765,17.1323,15.7047,16.4593,1.182,1.2658,0.9167,2412.0,2033.0,4445.0,29946.0,36342.0,66288.0,141590.0,147415.0,289005.0,193476.0,205378.0,398854.0,10549.0,11892.0,22441.0,13607.0,11126.0,24733.0,14281.0,12033.0,26314.0,297.0,291.0,588.0,65193.0,66149.0,131342.0,35.0118,25.6314,6661.0,4731.0,11392.0,306.0,270.0,576.0,164.0,60.0,224.0,348.0,136.0,484.0,15.0,0
2021-22,Jammu And Kashmir,22.6,27.2,24.8,18.6,22.5,20.4,19.9,17.8,18.9,1.2035,1.2097,0.8945,1879.0,1923.0,3802.0,30709.0,41398.0,72107.0,145870.0,147226.0,293096.0,192954.0,207469.0,400423.0,12952.0,13915.0,26867.0,16001.0,12770.0,28771.0,15593.0,13361.0,28954.0,514.0,221.0,735.0,63796.0,74346.0,138142.0,35.0357,24.0151,6638.0,4725.0,11363.0,304.0,258.0,562.0,186.0,65.0,251.0,295.0,126.0,421.0,16.0,0
2018-19,Jharkhand,19.5,18.7,19.1,17.0,14.8,15.9,13.4,14.0,13.7,0.96,0.87,1.05,2108.0,795.0,2903.0,33887.0,47852.0,81739.0,311311.0,299576.0,610887.0,656.0,1280.0,1936.0,39314.0,33723.0,73037.0,62774.0,73610.0,136384.0,151098.0,142185.0,293283.0,459.0,180.0,639.0,20388.0,20122.0,40510.0,60.0,54.0,8627.0,3739.0,12366.0,397.0,125.0,522.0,462.0,688.0,1150.0,2575.0,773.0,3348.0,25.0,0
2019-20,Jharkhand,20.9592,20.8671,20.913,16.9761,15.1152,16.0584,14.7354,16.4593,15.6395,0.9956,0.8904,1.117,2469.0,1020.0,3489.0,42783.0,63051.0,105834.0,330828.0,329263.0,660091.0,408859.0,408701.0,817560.0,39061.0,33841.0,72902.0,68787.0,84739.0,153526.0,170328.0,161304.0,331632.0,773.0,384.0,1157.0,21742.0,21834.0,43576.0,59.7282,54.2908,9514.0,4174.0,13688.0,437.0,132.0,569.0,498.0,756.0,1254.0,2879.0,888.0,3767.0,32.0,0
2020-21,Jharkhand,16.544,17.5206,17.0183,13.4259,12.5566,13.0062,11.5932,13.2498,12.4449,1.059,0.9353,1.1429,1738.0,919.0,2657.0,42929.0,62500.0,105429.0,314684.0,312130.0,626814.0,393349.0,393338.0,786687.0,38118.0,33279.0,71397.0,66777.0,80751.0,147528.0,154440.0,149715.0,304155.0,546.0,225.0,771.0,17069.0,17244.0,34313.0,54.6842,49.9114,9702.0,4684.0,14386.0,511.0,163.0,674.0,543.0,911.0,1454.0,2954.0,997.0,3951.0,32.0,0
2021-22,Jharkhand,18.6,18.7,18.6,15.8,13.7,14.8,13.1,14.7,13.9,1.0054,0.8671,1.1221,2039.0,1113.0,3152.0,48894.0,63574.0,112468.0,362777.0,347379.0,710156.0,450106.0,429859.0,879965.0,45691.0,37065.0,82756.0,76826.0,91503.0,168329.0,187445.0,172605.0,360050.0,881.0,294.0,1175.0,19532.0,18668.0,38200.0,58.3183,54.4607,9932.0,5157.0,15089.0,546.0,182.0,728.0,571.0,1072.0,1643.0,3020.0,1113.0,4133.0,33.0,0
2018-19,Karnataka,28.2,29.4,28.8,21.2,20.9,21.0,19.0,19.0,19.0,1.04,0.98,1.0,8070.0,5230.0,13300.0,93614.0,118327.0,211941.0,768616.0,789369.0,1557985.0,1284.0,1795.0,3079.0,132676.0,128603.0,261279.0,48370.0,46750.0,95120.0,480822.0,505308.0,986130.0,2310.0,1986.0,4296.0,65642.0,59894.0,125536.0,15.0,14.0,73476.0,59861.0,133337.0,7415.0,3717.0,11132.0,1966.0,841.0,2807.0,27551.0,21427.0,48978.0,65.0,0
2019-20,Karnataka,31.2283,32.7473,31.9733,23.265,23.099,23.1829,20.9099,20.9754,20.942,1.0486,0.9929,1.0031,8422.0,6566.0,14988.0,104832.0,134324.0,239156.0,848754.0,865942.0,1714696.0,1088883.0,1099009.0,2187892.0,147206.0,142956.0,290162.0,53814.0,51947.0,105761.0,536146.0,564008.0,1100154.0,2398.0,2204.0,4602.0,75198.0,69313.0,144511.0,14.7464,14.1675,80677.0,67691.0,148368.0,8391.0,4168.0,12559.0,2207.0,1022.0,3229.0,30024.0,24554.0,54578.0,69.0,0
2020-21,Karnataka,34.8346,37.1689,35.9607,25.3273,25.8734,25.5943,23.1557,23.6263,23.3839,1.067,1.0216,1.0203,5752.0,5276.0,11028.0,120083.0,159105.0,279188.0,944677.0,924391.0,1869068.0,1223601.0,1216836.0,2440437.0,157702.0,154146.0,311848.0,58644.0,56327.0,114971.0,565089.0,573864.0,1138953.0,2665.0,1830.0,4495.0,72487.0,65871.0,138358.0,16.0774,15.2835,81100.0,70693.0,151793.0,8352.0,4459.0,12811.0,2225.0,1096.0,3321.0,30302.0,25648.0,55950.0,72.0,0
