Model,Best_Split,Best_Scaler,Best_K,MAE,MSE,RMSE,R2,MAPE
Random Forest,85-15,MinMaxScaler,6,2.7663596969697015,14.304362166508442,3.7821108083328867,0.8949030875667143,10.005041167499234
Gradient Boosting,80-20,StandardScaler,3,3.4176988934208707,19.943545724668834,4.465819714752135,0.8166576874318058,12.187804642529603
SVR,85-15,StandardScaler,6,8.701979405035296,101.3938404699706,10.069450852453206,0.25503986482550667,44.4194421518959
Linear Regression,75-25,MinMaxScaler,2,500.2945242686576,8804429.713721642,2967.2259289986064,-83201.08492087165,1672.5054945323388
