Feature,Importance
ptr_all_reg,0.18455194408114925
phd_ratio,0.13436602453447954
enr_st_male,0.046521936540305654
gpi_all,0.039396717482756714
teacher_obc_female,0.03822146681170353
enr_st_female,0.033799964740927356
pg_ratio,0.03300880925908897
teacher_obc_male,0.030983940160866225
enr_st_total,0.029388302322627884
enr_sc_male,0.028449100828232137
student_teacher_ratio,0.027360540446273583
teacher_st_female,0.024666115762705
ptr_all_reg_dist,0.023160816576085493
teachers_per_university,0.022510053029855436
teacher_st_total,0.019099067376770452
enr_phd_female,0.01898281393120575
enr_phd_male,0.017228035726490315
gpi_sc,0.016769025818571884
teacher_st_male,0.015067574023718352
teacher_obc_total,0.013143524500483032
teacher_sc_female,0.012183657961070094
enr_pg_male,0.012114748054516195
enr_phd_total,0.011960478627388367
enr_pwd_male,0.011583845397704694
teacher_sc_male,0.011364156685845712
students_per_university,0.010508761465337812
enr_pg_total,0.010274931890701975
enr_pwd_total,0.010159717937481882
female_participation_ratio,0.009421370796524652
gpi_st,0.007847899413472829
enr_obc_female,0.007140543379982852
enr_pg_female,0.0067774729564494506
enr_pwd_female,0.006467093550055855
teacher_total_female,0.0063924273464135255
enr_sc_female,0.005725985049787564
log_enr_pg_total,0.0052812379606019515
enr_obc_total,0.0051272439014419975
teacher_sc_total,0.004969363371607188
enr_obc_male,0.004743062851137839
enr_sc_total,0.004313234386291662
log_teacher_total,0.004265832392819108
enr_muslim_female,0.00391056808356076
total_universities,0.003237792787342791
log_total_universities,0.003151299239658871
teacher_total,0.0030517581767931395
enr_grand_female,0.002850729300474095
enr_muslim_total,0.002620247245660172
teacher_total_male,0.0024930820633654277
enr_muslim_male,0.0024474636225036176
enr_grand_male,0.002113102986036914
enr_ug_total,0.0017235661199362531
enr_ug_male,0.0016170967417750502
imputed_flag,0.001533198645274251
enr_grand_total,0.001275500693967355
log_enr_ug_total,0.001162326630641023
log_enr_grand_total,0.0007764120004315759
enr_ug_female,0.0007370163316489484
